variant,subset,n_features,outer_splits,pearson_mean,pearson_std,spearman_mean,spearman_std,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std
EMPTY_intercept_only_0,EMPTY,0,5,,,,,-0.0145967896761482,0.0259170901396054,0.4070044703601098,0.0307086699514613,0.2970528103130346,0.0200822688714009
E_engineered_2214,E,2214,5,0.6379961183283864,0.0873044365022012,0.6039660051948633,0.0754745039741529,0.3867910270479223,0.1337608343420961,0.3139790389816931,0.0254351210668625,0.2254465784870552,0.0184588996172565
O_ordered_118,O,118,5,0.6270216733781232,0.0613857614794763,0.587648325224327,0.0338190954570398,0.3818438711800945,0.0761657317088113,0.316283292289597,0.0129222670394861,0.2304729121712426,0.0167405125732112
L_local_102,L,102,5,0.5686092403020907,0.020621943640121,0.5269548773984805,0.0338945855062803,0.3120966337207608,0.031073180056812,0.3351423146463873,0.0270935357288778,0.2467454976810472,0.0170169507800823
EO_engineered_plus_ordered_2332,EO,2332,5,0.6585119483075316,0.0836574519245382,0.6275493798566776,0.0619135921602826,0.4137636644214297,0.1255286048634262,0.3068337471910419,0.0204482758321549,0.2203044905163278,0.0163412947581397
EL_engineered_plus_local_2316,EL,2316,5,0.6527499767926335,0.0793508579928453,0.6238189297352672,0.0805429656085904,0.4051375700642737,0.1150656081343585,0.309451365747649,0.0193725072723496,0.221175338101006,0.0160414466341374
OL_ordered_plus_local_220,OL,220,5,0.6380007626523022,0.0472619727282957,0.6031249126288485,0.0323505354375676,0.3913742193265861,0.0579179673530459,0.314313262324379,0.0155767916520441,0.2288447450406416,0.014960938847785
EOL_full_2434,EOL,2434,5,0.6631300520189696,0.081440085122048,0.6320794761589438,0.0702099137242857,0.4178487927324006,0.1215946407050022,0.3059526652935314,0.0215541185467735,0.22126426697787,0.0156550991793318
